gene	geneName	baseMean	log2FC	stderror	padj
CNAG_05083	NA	366.753	0.885	0.361	0.08427
CNAG_05084	NA	225.392	1.567	0.435	0.004764
CNAG_05085	NA	767.033	-0.736	0.308	0.09632
CNAG_05086	URM1	133.572	-0.602	0.538	0.5452
CNAG_05087	NA	12.817	-0.218	1.534	NA
CNAG_05089	NA	67.124	0.256	0.725	0.8828
CNAG_05090	NA	350.684	1.424	0.439	0.01313
CNAG_05091	NA	108.7	0.64	0.596	0.5666
CNAG_05092	NA	0	NA	NA	NA
CNAG_05093	HOB6	25.817	0.976	1.146	0.6695
CNAG_05095	NA	30.641	2.8	1.15	0.08764
CNAG_05096	NA	165.268	0.621	0.508	0.4982
CNAG_05097	CKY1	25.549	2.569	1.4	0.2401
CNAG_05098	HUB1	123.669	-0.185	0.589	0.8974
CNAG_05099	NA	0.517	2.826	4.94	NA
CNAG_05100	NA	284.058	0.367	0.389	0.6262
CNAG_05101	NA	1592.116	-0.551	0.273	0.1811
CNAG_05102	NA	198.222	-0.689	0.476	0.3925
CNAG_05103	NA	145.224	-0.335	0.503	0.7509
CNAG_05104	FRK101	31.79	3.083	1.079	0.03564
CNAG_05105	LIV12	2225.563	-0.582	0.236	0.08273
CNAG_05106	NA	19.406	1.079	1.37	0.6962
CNAG_05107	NA	135.307	0.274	0.594	0.841
CNAG_05109	NA	1433.227	-0.236	0.301	0.6964
CNAG_05110	NA	411.471	0.086	0.34	0.9169
CNAG_05111	NA	493.561	0.014	0.337	0.9873
CNAG_05112	FZC42	243.501	-0.372	0.412	0.6458
CNAG_05113	NA	93.314	-0.232	0.635	0.8779
CNAG_05114	NA	41.655	1.016	1.052	0.6162
CNAG_05115	NA	480.998	-1.233	0.367	0.009667
CNAG_05116	NA	106.628	-0.86	0.662	0.46
CNAG_05117	NA	316.038	-0.095	0.372	0.9161
CNAG_05118	NA	174.21	-0.317	0.483	0.756
CNAG_05119	NA	40.712	1.588	1.021	0.3466
CNAG_05120	NA	172.672	0.25	0.467	0.8123
CNAG_05121	NA	676.234	-0.453	0.296	0.3571
CNAG_05122	NA	468.769	0.034	0.354	0.9708
CNAG_05123	NA	90.456	0.404	0.689	0.7886
CNAG_05124	SEY1	186.543	0.439	0.459	0.6208
CNAG_05125	MVD1	282.872	-0.342	0.428	0.6926
CNAG_05129	NA	26.636	-0.034	1.15	0.9896
CNAG_05130	NA	156.083	-0.584	0.493	0.5137
CNAG_05131	NA	187.806	0.246	0.469	0.8158
CNAG_05132	NA	1268.404	0.448	0.268	0.2984
CNAG_05134	NA	231.49	1.379	0.488	0.03816
CNAG_05135	PMR1	443.226	0.301	0.385	0.6979
CNAG_05136	NA	1895.688	-0.06	0.255	0.922
